exps,dataSets,attacks,budgets(%),metrics,result
2,Cora,nodeembeddingattack,5,class_homophily,0.76913541
2,Cora,nodeembeddingattack,5,adjusted_homophily,0.555061284
2,Cora,nodeembeddingattack,5,balanced_homophily,0.361481246
2,Cora,nodeembeddingattack,10,edge_homophily,0.819827405
2,Cora,nodeembeddingattack,10,node_homophily,0.830414152
2,Cora,nodeembeddingattack,10,class_homophily,0.778917661
2,Cora,nodeembeddingattack,10,adjusted_homophily,0.626197803
2,Cora,nodeembeddingattack,10,balanced_homophily,0.367350596
2,Cora,nodeembeddingattack,15,edge_homophily,0.823490082
2,Cora,nodeembeddingattack,15,node_homophily,0.831580479
2,Cora,nodeembeddingattack,15,class_homophily,0.782596112
2,Cora,nodeembeddingattack,15,adjusted_homophily,0.669685339
2,Cora,nodeembeddingattack,15,balanced_homophily,0.369557667
2,Cora,nodeembeddingattack,20,edge_homophily,0.829031494
2,Cora,nodeembeddingattack,20,node_homophily,0.834211538
2,Cora,nodeembeddingattack,20,class_homophily,0.789856726
2,Cora,nodeembeddingattack,20,adjusted_homophily,0.709417218
2,Cora,nodeembeddingattack,20,balanced_homophily,0.373914036
2,Cora,pgd,1,edge_homophily,0.804827456
2,Cora,pgd,1,node_homophily,0.818667047
2,Cora,pgd,1,class_homophily,0.759996209
2,Cora,pgd,1,adjusted_homophily,0.440079248
2,Cora,pgd,1,balanced_homophily,0.355997725
2,Cora,pgd,5,edge_homophily,0.779022777
2,Cora,pgd,5,node_homophily,0.79710148
2,Cora,pgd,5,class_homophily,0.727864265
2,Cora,pgd,5,adjusted_homophily,0.301137636
2,Cora,pgd,5,balanced_homophily,0.336718559
2,Cora,pgd,10,edge_homophily,0.749911127
2,Cora,pgd,10,node_homophily,0.774525739
2,Cora,pgd,10,class_homophily,0.691673755
2,Cora,pgd,10,adjusted_homophily,0.091744921
2,Cora,pgd,10,balanced_homophily,0.315004253
2,Cora,pgd,15,edge_homophily,0.728438433
2,Cora,pgd,15,node_homophily,0.749619617
2,Cora,pgd,15,class_homophily,0.664163279
2,Cora,pgd,15,adjusted_homophily,-0.014292593
2,Cora,pgd,15,balanced_homophily,0.298497967
2,Cora,pgd,20,edge_homophily,0.701901662
2,Cora,pgd,20,node_homophily,0.73030815
2,Cora,pgd,20,class_homophily,0.630439545
2,Cora,pgd,20,adjusted_homophily,-0.258712932
2,Cora,pgd,20,balanced_homophily,0.278263727
2,Cora,random,1,edge_homophily,0.804690432
2,Cora,random,1,node_homophily,0.819350321
2,Cora,random,1,class_homophily,0.759554414
2,Cora,random,1,adjusted_homophily,0.427835556
2,Cora,random,1,balanced_homophily,0.355732648
2,Cora,random,5,edge_homophily,0.779101245
2,Cora,random,5,node_homophily,0.791073571
2,Cora,random,5,class_homophily,0.72814088
2,Cora,random,5,adjusted_homophily,0.235763701
2,Cora,random,5,balanced_homophily,0.336884528
2,Cora,random,10,edge_homophily,0.754177433
2,Cora,random,10,node_homophily,0.76221552
2,Cora,random,10,class_homophily,0.69976843
2,Cora,random,10,adjusted_homophily,-0.14081906
